#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Bacteriovorax stolpii	3	0	0
Bacteroides caecimuris	0	1	0
Bacteroides cellulosilyticus	0	1	0
Bacteroides coprosuis	1	1	0
Bacteroides fragilis	0	1	0
Bacteroides intestinalis	0	0	1
Bacteroides uniformis	0	1	0
Bartonella alsatica	0	1	0
Bartonella ancashensis	1	4	0
Bartonella apis	1	2	0
Bartonella australis	0	2	1
Bartonella bacilliformis	1	1	4
Bartonella birtlesii	0	0	1
Bartonella bovis	2	3	0
Bartonella clarridgeiae	0	1	0
Bartonella grahamii	0	1	1
Bartonella henselae	3	1	1
Bartonella kosoyi	1	0	0
Bartonella quintana	0	3	1
Bartonella sp. HY038	0	2	0
Bartonella sp. WD16.2	0	1	1
Bartonella tribocorum	0	1	0
Bartonella vinsonii	1	1	1
Bathymodiolus septemdierum thioautotrophic gill symbiont	2	1	3
Beggiatoa leptomitoformis	1	1	0
Beijerinckiaceae bacterium	0	0	1
Belliella baltica	0	1	5
Bergeyella cardium	1	0	0
Bibersteinia trehalosi	1	1	0
Bisgaardia hudsonensis	1	1	1
Blattabacterium cuenoti	22	31	22
Blattabacterium sp. (Blattella germanica)	1	0	1
Blattabacterium sp. (Cryptocercus kyebangensis)	1	0	0
Blattabacterium sp. (Mastotermes darwiniensis)	1	0	1
Blattabacterium sp. (Nauphoeta cinerea)	0	1	0
Blautia sp. SC05B48	0	0	1
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	0	1	0
Bombella sp. KACC 21507	0	0	1
Bordetella flabilis	0	1	0
Bordetella holmesii	1	0	0
Bordetella sp. HZ20	2	0	0
Borrelia anserina	0	0	1
Borrelia coriaceae	0	0	2
Borrelia hermsii	0	1	0
Borreliella garinii	0	1	0
Bosea sp. F3-2	0	1	0
Boseongicola sp. CCM32	0	1	0
Brachybacterium avium	0	0	1
Brachyspira hampsonii	3	0	1
Brachyspira intermedia	0	0	1
Bradyrhizobiaceae bacterium SG-6C	5	3	1
Bradyrhizobium betae	1	0	0
Bradyrhizobium elkanii	0	1	0
Bradyrhizobium erythrophlei	1	0	0
Bradyrhizobium guangdongense	0	1	0
Bradyrhizobium lablabi	1	1	0
Bradyrhizobium ottawaense	1	0	0
Bradyrhizobium sp.	0	0	2
Bradyrhizobium sp. ORS 278	0	0	1
Bradyrhizobium zhanjiangense	1	0	0
Brenneria rubrifaciens	1	0	0
Brevibacillus sp. SCSIO 07484	0	1	0
Brevibacterium sp. PAMC23299	1	0	1
Brochothrix thermosphacta	1	0	0
Buchnera aphidicola	28	47	48
Burkholderia multivorans	1	0	0
Burkholderia sp. CCGE1003	0	0	1
Burkholderia sp. PAMC 26561	1	1	0
Burkholderia sp. PAMC 28687	1	0	0
Burkholderiales bacterium YL45	0	1	0
Butyricimonas faecalis	0	2	2
Butyrivibrio proteoclasticus	0	0	1
Bythopirellula goksoyri	2	1	0
Caldicellulosiruptor bescii	1	1	4
Caldicellulosiruptor changbaiensis	1	0	1
Caldicellulosiruptor hydrothermalis	0	1	1
Caldicellulosiruptor obsidiansis	0	0	1
Caldicellulosiruptor owensensis	0	2	0
Calditerrivibrio nitroreducens	0	1	0
Caldithrix abyssi	3	0	0
Caloramator sp. E03	0	1	1
Caloranaerobacter azorensis	1	0	2
Calothrix brevissima	1	0	0
Calothrix parasitica	1	0	0
Calothrix parietina	0	1	1
Calothrix sp. PCC 7507	1	0	0
Caminibacter mediatlanticus	0	1	2
Campylobacter avium	0	1	0
Campylobacter blaseri	0	4	3
Campylobacter canadensis	1	0	0
Campylobacter coli	1	3	1
Campylobacter concisus	1	1	1
Campylobacter corcagiensis	0	3	0
Campylobacter cuniculorum	0	0	1
Campylobacter fetus	1	0	0
Campylobacter geochelonis	0	0	5
Campylobacter helveticus	0	2	1
Campylobacter hominis	0	2	0
Campylobacter hyointestinalis	1	1	1
Campylobacter iguaniorum	0	2	0
Campylobacter insulaenigrae	1	1	1
Campylobacter jejuni	1	2	2
Campylobacter lanienae	0	1	1
Campylobacter lari	1	2	2
Campylobacter mucosalis	1	0	1
Campylobacter pinnipediorum	3	4	3
Campylobacter showae	1	0	0
Campylobacter sp. CCUG 57310	1	0	0
Campylobacter sp. RM12175	2	0	2
Campylobacter sp. RM16192	0	1	1
Campylobacter sputorum	1	2	0
Campylobacter subantarcticus	1	0	0
Campylobacter ureolyticus	1	2	1
Campylobacter volucris	1	0	0
Candidatus Arsenophonus lipoptenae	0	1	0
Candidatus Arthromitus sp. SFB-rat-Yit	1	2	1
Candidatus Atelocyanobacterium thalassa	0	0	1
Candidatus Azobacteroides pseudotrichonymphae	0	3	1
Candidatus Babela massiliensis	1	0	0
Candidatus Baumannia cicadellinicola	5	2	3
Candidatus Blochmannia chromaiodes	0	0	1
Candidatus Blochmannia floridanus	0	1	1
Candidatus Blochmannia vafer	0	0	1
Candidatus Carsonella ruddii	7	5	7
Candidatus Cytomitobacter indipagum	1	3	2
Candidatus Cytomitobacter primus	1	0	0
Candidatus Deianiraea vastatrix	1	1	2
Candidatus Desulfofervidus auxilii	0	0	1
Candidatus Endolissoclinum faulkneri	1	4	1
Candidatus Endomicrobium trichonymphae	0	1	0
Candidatus Enterovibrio luxaltus	0	0	1
Candidatus Erwinia haradaeae	3	7	5
Candidatus Evansia muelleri	2	1	0
Candidatus Filomicrobium marinum	1	2	0
Candidatus Fonsibacter ubiquis	19	20	17
Candidatus Gracilibacteria bacterium HOT-871	0	0	1
Candidatus Gullanella endobia	0	0	1
Candidatus Hamiltonella defensa	0	0	2
Candidatus Hoaglandella endobia	1	0	1
Candidatus Hodgkinia cicadicola	2	3	0
Candidatus Ishikawaella capsulata	0	3	0
Candidatus Izimaplasma sp. HR1	2	0	2
Candidatus Kinetoplastibacterium blastocrithidii	1	1	0
Candidatus Kinetoplastibacterium crithidii	0	3	2
Candidatus Kinetoplastibacterium desouzaii	2	1	3
Candidatus Kinetoplastibacterium galatii	0	4	1
Candidatus Kinetoplastibacterium oncopeltii	1	1	4
Candidatus Kinetoplastibacterium sorsogonicusi	2	4	2
Candidatus Liberibacter asiaticus	0	3	1
Candidatus Liberibacter solanacearum	0	1	1
Candidatus Methylopumilus planktonicus	1	3	2
Candidatus Methylopumilus rimovensis	0	1	0
Candidatus Midichloria mitochondrii	0	1	0
Candidatus Mikella endobia	1	1	0
Candidatus Moranella endobia	0	0	1
Candidatus Nanopelagicus hibericus	0	0	1
Candidatus Nanopelagicus limnes	0	0	1
Candidatus Nardonella dryophthoridicola	1	0	1
Candidatus Nasuia deltocephalinicola	0	1	0
Candidatus Nitrosomarinus catalina	0	13	5
Candidatus Nitrosopelagicus brevis	13	2	5
Candidatus Nitrosopumilus sediminis	0	1	0
Candidatus Nitrosopumilus sp. SW	1	2	0
Candidatus Nitrosotalea okcheonensis	1	0	0
Candidatus Nitrospira inopinata	0	1	0
Candidatus Nucleicultrix amoebiphila	1	2	1
Candidatus Paracaedibacter acanthamoebae	0	1	2
Candidatus Pelagibacter giovannonii	93	67	61
Candidatus Pelagibacter sp. FZCC0015	317	247	409
Candidatus Pelagibacter sp. HIMB1321	125	150	142
Candidatus Pelagibacter sp. IMCC9063	11	17	12
Candidatus Pelagibacter sp. RS39	132	200	227
Candidatus Pelagibacter sp. RS40	69	65	102
Candidatus Pelagibacter ubique	91	114	106
Candidatus Phaeomarinobacter ectocarpi	1	0	0
Candidatus Phycorickettsia trachydisci	0	1	1
Candidatus Phytoplasma mali	1	0	0
Candidatus Planktophila lacus	0	2	2
Candidatus Planktophila sulfonica	0	1	0
Candidatus Portiera aleyrodidarum	0	3	0
Candidatus Profftella armatura	0	1	0
Candidatus Promineofilum breve	1	0	0
Candidatus Protochlamydia naegleriophila	0	0	1
Candidatus Puniceispirillum marinum	5	2	2
Candidatus Purcelliella pentastirinorum	1	0	0
Candidatus Rhodoluna planktonica	0	1	0
Candidatus Rickettsiella viridis	0	1	0
Candidatus Riesia pediculischaeffi	0	1	0
Candidatus Ruthia magnifica	1	2	1
Candidatus Sulcia muelleri	2	1	3
Candidatus Thioglobus autotrophicus	1	1	0
Candidatus Thioglobus singularis	18	2	1
Candidatus Thioglobus sp. NP1	4	1	1
Candidatus Uzinura diaspidicola	1	0	1
Candidatus Vesicomyosocius okutanii	1	1	2
Candidatus Walczuchella monophlebidarum	1	0	0
Capnocytophaga canimorsus	0	0	2
Capnocytophaga cynodegmi	1	0	0
Capnocytophaga gingivalis	0	1	0
Capnocytophaga leadbetteri	1	0	0
Capnocytophaga sp. oral taxon 878	1	0	0
Capnocytophaga sputigena	1	0	0
Capnocytophaga stomatis	1	0	1
Cardiobacterium hominis	0	0	1
Carnobacterium maltaromaticum	1	1	0
Carnobacterium sp. 17-4	0	0	1
Catenovulum sediminis	1	1	1
Catenovulum sp. CCB-QB4	2	2	2
Caulobacter flavus	1	0	0
Cedecea lapagei	0	0	1
Celeribacter baekdonensis	1	0	1
Celeribacter ethanolicus	0	1	0
Celeribacter marinus	1	0	0
Cellulophaga algicola	0	2	2
Cellulophaga baltica	0	2	2
Cellulophaga lytica	1	1	2
Cellulophaga sp. L1A9	2	0	1
Cellvibrio sp. KY-YJ-3	1	0	0
Cellvibrio sp. PSBB006	1	0	0
Cellvibrio sp. PSBB023	0	0	2
Chamaesiphon minutus	0	1	1
Changchengzhania lutea	2	0	4
Chelativorans sp. BNC1	1	0	0
Chelatococcus daeguensis	0	0	1
Chitinibacter fontanus	1	0	0
Chitinibacter sp. 2T18	0	1	1
Chlamydia caviae	1	1	1
Chlamydia felis	0	2	0
Chlamydia gallinacea	1	0	0
Chlorobium phaeovibrioides	1	0	0
Chloroherpeton thalassium	0	1	1
Chondrocystis sp. NIES-4102	0	1	0
Chromatiaceae bacterium No.7	0	0	1
Chryseobacterium antarcticum	0	0	1
Chryseobacterium bernardetii	0	0	1
Chryseobacterium camelliae	1	0	1
Chryseobacterium gallinarum	0	0	2
Chryseobacterium gleum	1	0	0
Chryseobacterium haifense	0	1	0
Chryseobacterium indologenes	0	1	1
Chryseobacterium indoltheticum	2	0	2
Chryseobacterium jeonii	0	0	1
Chryseobacterium joostei	0	1	0
Chryseobacterium lactis	0	1	0
Chryseobacterium nakagawai	2	1	0
Chryseobacterium sp.	0	0	1
Chryseobacterium sp. 3008163	0	0	2
Chryseobacterium sp. H3001	1	0	0
Chryseobacterium sp. NBC 122	0	0	1
Chryseobacterium sp. SNU WT5	3	1	1
Chryseobacterium sp. StRB126	0	1	0
Chryseobacterium taklimakanense	0	1	0
Chryseoglobus sp. CTD02-10-2	0	1	0
Chryseolinea soli	0	1	0
Citrobacter freundii	0	1	1
Citrobacter sp. SNU WT2	0	1	0
Citromicrobium sp. JL477	0	1	0
Cloacibacillus porcorum	0	1	0
Cloacibacterium normanense	0	0	2
Clostridiaceae bacterium 14S0207	1	3	1
Clostridioides difficile	0	5	1
Clostridium aceticum	0	1	1
Clostridium acetobutylicum	2	0	5
Clostridium argentinense	2	0	3
Clostridium autoethanogenum	1	0	0
Clostridium baratii	1	2	1
Clostridium beijerinckii	1	1	1
Clostridium bornimense	4	3	4
Clostridium botulinum	3	8	7
Clostridium butyricum	3	2	1
Clostridium cellulovorans	2	0	3
Clostridium chauvoei	1	4	3
Clostridium drakei	0	0	1
Clostridium estertheticum	0	1	0
Clostridium formicaceticum	0	1	0
Clostridium intestinale	3	2	0
Clostridium isatidis	0	0	1
Clostridium kluyveri	0	1	2
Clostridium novyi	1	3	5
Clostridium pasteurianum	4	2	1
Clostridium perfringens	3	4	4
Clostridium saccharobutylicum	1	1	2
Clostridium saccharoperbutylacetonicum	0	1	0
Clostridium septicum	1	0	0
Clostridium sp. BNL1100	2	2	0
Clostridium sp. CT4	1	2	1
Clostridium sp. DL-VIII	1	1	2
Clostridium sp. JN-1	1	3	1
Clostridium sp. JN-9	0	1	1
Clostridium sp. JN500901	2	1	0
Clostridium sp. SYSU GA15002T	2	0	0
Clostridium taeniosporum	2	0	1
Clostridium tetani	1	1	0
Clostridium tyrobutyricum	0	2	1
Cohaesibacter sp. ES.047	1	0	0
Collimonas fungivorans	0	0	1
Collimonas pratensis	0	1	0
Colwellia beringensis	2	1	0
Colwellia psychrerythraea	0	0	1
Colwellia sp. 20A7	1	2	1
Colwellia sp. Arc7-635	0	1	0
Colwellia sp. Arc7-D	2	1	4
Colwellia sp. PAMC 21821	1	3	0
Comamonas piscis	2	0	0
Commensalibacter sp. AMU001	0	1	4
Commensalibacter sp. ESL0284	1	0	0
Conchiformibius steedae	1	0	0
Congregibacter litoralis	1	0	0
Corynebacterium crudilactis	0	0	1
Corynebacterium deserti	1	0	0
Corynebacterium kroppenstedtii	1	0	0
Corynebacterium pelargi	0	1	0
Corynebacterium simulans	0	0	1
Corynebacterium sp. 4H37-19	0	1	0
Corynebacterium sp. ATCC 6931	0	1	0
Costertonia aggregata	1	0	0
Coxiella burnetii	0	3	0
Crassaminicella sp. SY095	0	1	0
Crateriforma conspicua	0	0	1
Crenobacter cavernae	0	0	1
Crinalium epipsammum	0	2	0
Croceibacter atlanticus	0	3	0
Croceicoccus marinus	0	0	1
Cryobacterium arcticum	0	0	1
Cryptobacterium curtum	0	1	0
Cutibacterium acnes	5	0	1
Cutibacterium granulosum	0	1	0
Cyanobacterium aponinum	0	2	0
Cyclobacterium amurskyense	2	0	0
Cycloclasticus sp. PY97N	0	0	1
Cytobacillus kochii	2	2	0
Cytophaga hutchinsonii	1	2	1
Cytophagales bacterium TFI 002	0	0	2
Dactylococcopsis salina	1	2	1
Deferribacter desulfuricans	2	0	3
Defluviitoga tunisiensis	1	3	1
Deinococcus metallilatus	1	0	0
Desulfallas gibsoniae	1	0	0
Desulfobacterium autotrophicum	0	0	1
Desulfobacula toluolica	1	1	0
Desulfocapsa sulfexigens	1	0	3
Desulfococcus multivorans	0	0	1
Desulfomicrobium baculatum	0	1	0
Desulfopila sp. IMCC35004	0	1	0
Desulfopila sp. IMCC35005	0	3	0
Desulfosporosinus acidiphilus	1	1	1
Desulfosporosinus meridiei	0	0	1
Desulfosporosinus orientis	0	0	2
Desulfotalea psychrophila	0	0	1
Desulfotomaculum ferrireducens	0	0	1
Desulfotomaculum nigrificans	0	0	1
Desulfovibrio alaskensis	0	1	0
Desulfovibrio gigas	1	0	0
Desulfovibrio sulfodismutans	0	1	0
Desulfurella acetivorans	2	1	0
Devosia sp. I507	0	0	1
Devosia sp. MC521	0	1	0
Dialister pneumosintes	0	0	1
Dickeya chrysanthemi	2	0	0
Dictyoglomus thermophilum	0	0	1
Dokdonia donghaensis	0	1	2
Dokdonia sp. 4H-3-7-5	1	0	2
Dokdonia sp. Dokd-P16	0	1	0
Dokdonia sp. MED134	0	0	2
Dokdonia sp. PRO95	1	0	0
Dolosigranulum pigrum	0	0	1
Dyella sp. G9	1	0	0
Echinicola rosea	0	1	0
Echinicola sp. LN3S3	0	1	0
Echinicola vietnamensis	0	0	1
Ectothiorhodospiraceae bacterium 2226	1	0	0
Edaphobacter sp. 4G125	0	1	0
Edwardsiella hoshinae	0	1	0
Ehrlichia canis	0	0	1
Ehrlichia chaffeensis	2	2	1
Ehrlichia ruminantium	5	3	1
Ehrlichia sp. HF	3	4	2
Elizabethkingia anophelis	1	0	0
Elizabethkingia bruuniana	1	0	0
Elizabethkingia meningoseptica	1	0	0
Elizabethkingia miricola	1	2	0
Elizabethkingia sp. JS20170427COW	0	0	2
Emcibacter congregatus	1	0	0
Empedobacter brevis	2	1	1
Empedobacter stercoris	0	2	1
Ensifer adhaerens	1	0	0
Enterobacter asburiae	2	0	0
Enterobacter cancerogenus	0	1	0
Enterobacter cloacae	1	0	0
Enterobacteriaceae endosymbiont of Donacia cinerea	1	0	0
Enterobacteriaceae endosymbiont of Donacia crassipes	1	0	2
Enterobacteriaceae endosymbiont of Donacia dentata	0	1	0
Enterobacteriaceae endosymbiont of Donacia piscatrix	0	1	2
Enterobacteriaceae endosymbiont of Donacia provostii	0	1	2
Enterobacteriaceae endosymbiont of Donacia proxima	0	1	1
Enterobacteriaceae endosymbiont of Donacia semicuprea	1	0	0
Enterobacteriaceae endosymbiont of Donacia simplex	0	1	0
Enterobacteriaceae endosymbiont of Donacia sparganii	0	0	1
Enterobacteriaceae endosymbiont of Macroplea appendiculata	0	1	0
Enterobacteriaceae endosymbiont of Macroplea mutica	0	1	0
Enterobacteriaceae endosymbiont of Plateumaris braccata	0	0	1
Enterobacteriaceae endosymbiont of Plateumaris consimilis	1	0	1
Enterobacteriaceae endosymbiont of Plateumaris rustica	0	0	1
Enterococcus avium	0	0	2
Enterococcus faecalis	1	1	0
Enterococcus faecium	0	0	1
Enterococcus hirae	0	1	0
Enterococcus mundtii	1	1	1
Enterococcus saigonensis	1	1	1
Entomomonas moraniae	0	1	0
Entomoplasma luminosum	2	0	0
Ephemeroptericola cinctiostellae	0	1	1
Epibacterium mobile	0	1	1
Erwinia sp. J780	0	1	0
Erysipelothrix rhusiopathiae	0	1	0
Erysipelothrix sp. HDW6B	1	1	0
Erythrobacter aureus	0	0	1
Erythrobacter flavus	1	0	0
Erythrobacter litoralis	1	0	1
Erythrobacter mangrovi	0	1	0
Erythrobacter seohaensis	0	1	0
Erythrobacter sp. HL-111	0	0	1
Escherichia albertii	0	1	1
Escherichia coli	0	1	2
Escherichia fergusonii	0	1	0
Escherichia marmotae	0	1	0
Eubacterium limosum	0	2	0
Euzebyella marina	2	2	1
Exiguobacterium sp. N4-1P	1	0	0
Ezakiella massiliensis	1	2	1
Faecalibaculum rodentium	0	0	1
Fermentimonas caenicola	0	0	2
Ferrimonas sp. S7	1	1	0
Fervidobacterium pennivorans	0	4	0
Fibrella sp. ES10-3-2-2	1	0	0
Filifactor alocis	0	1	0
Filimonas lacunae	1	0	0
Finegoldia magna	0	2	2
Flagellimonas maritima	1	0	1
Flammeovirga pectinis	1	2	3
Flammeovirga sp. MY04	1	0	1
Flammeovirgaceae bacterium 311	0	0	1
Flavihumibacter sp. SB-02	1	0	0
Flavisolibacter sp. 17J28-1	0	1	0
Flavisolibacter tropicus	0	1	1
Flavivirga eckloniae	0	0	1
Flavobacteriaceae bacterium	2	0	3
Flavobacteriaceae bacterium 10Alg115	1	0	2
Flavobacteriaceae bacterium MAR_2010_188	1	3	1
Flavobacteriaceae bacterium RR4-40	3	0	1
Flavobacteriaceae bacterium UJ101	1	1	2
Flavobacterium album	1	1	1
Flavobacterium alkalisoli	0	0	1
Flavobacterium anhuiense	0	0	1
Flavobacterium arcticum	3	0	1
Flavobacterium branchiophilum	1	1	1
Flavobacterium columnare	4	7	3
Flavobacterium commune	1	1	0
Flavobacterium crassostreae	1	1	2
Flavobacterium crocinum	0	0	1
Flavobacterium faecale	0	1	1
Flavobacterium gilvum	0	0	2
Flavobacterium haoranii	1	0	1
Flavobacterium indicum	1	0	2
Flavobacterium johnsoniae	0	2	0
Flavobacterium kingsejongi	1	0	0
Flavobacterium magnum	0	1	0
Flavobacterium nackdongense	5	1	1
Flavobacterium sangjuense	1	1	2
Flavobacterium sediminis	0	0	2
Flavobacterium sp. I3-2	1	2	2
Flavobacterium sp. LPB0248	1	0	0
Flavobacterium sp. M31R6	1	1	1
Flavobacterium sp. P2-65	1	0	2
Flavobacterium sp. Sr18	1	1	0
Fluoribacter dumoffii	2	3	1
Fluviicola taffensis	1	0	0
Formosa agariphila	1	2	0
Formosa sediminum	2	2	1
Formosa sp. Hel1_31_208	1	1	3
Formosa sp. Hel1_33_131	1	1	2
Formosa sp. Hel3_A1_48	5	1	3
Formosa sp. L2A11	2	1	1
Francisella adeliensis	0	1	1
Francisella frigiditurris	0	1	1
Francisella halioticida	1	0	0
Francisella persica	1	1	2
Francisella philomiragia	1	1	0
Francisella sp. FSC1006	0	0	2
Francisella sp. Scap27	1	0	0
Francisella uliginis	0	1	4
Frankineae bacterium MT45	0	1	0
Frischella perrara	1	1	0
Fusobacterium gonidiaformans	0	1	0
Fusobacterium hwasookii	1	0	0
Fusobacterium necrophorum	0	1	1
Fusobacterium nucleatum	2	4	1
Fusobacterium periodonticum	0	0	1
Fusobacterium pseudoperiodonticum	1	1	0
Fusobacterium sp. NSJ-57	0	0	1
Fusobacterium ulcerans	2	1	1
Fusobacterium varium	3	0	1
Galbibacter sp. BG1	0	0	1
Gallaecimonas mangrovi	1	1	0
Gallibacterium anatis	1	0	0
Gallionella capsiferriformans	1	0	0
Gardnerella vaginalis	0	0	1
Gemella haemolysans	2	0	1
Geminocystis herdmanii	0	1	0
Geminocystis sp. NIES-3708	0	1	3
Gemmobacter sp. HYN0069	1	0	0
Geobacillus sp. WCH70	0	1	0
Geobacter sp. DSM 9736	1	0	0
Geosporobacter ferrireducens	0	0	1
Gillisia sp. Hel1_33_143	3	0	3
Glaciecola nitratireducens	3	1	0
Gloeocapsa sp. PCC 7428	1	0	0
Gloeomargarita lithophora	0	0	1
Gloeothece citriformis	1	1	0
Gloeothece verrucosa	0	1	1
Glycocaulis alkaliphilus	0	0	1
Gordonia polyisoprenivorans	1	0	0
Gottschalkia acidurici	2	0	1
Gramella echinicola	1	0	0
Gramella forsetii	0	1	0
Gramella fulva	0	0	1
Gramella salexigens	1	2	1
Gramella sp. MAR_2010_147	1	1	2
Granulibacter bethesdensis	0	1	0
Guyparkeria halophila	0	1	0
Gynuella sunshinyii	1	1	1
Haematospirillum jordaniae	1	1	0
Haemophilus parainfluenzae	1	1	1
Haemophilus pittmaniae	0	0	2
