#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Desulfobacula	1	1	0
Desulfocapsa	1	0	3
Desulfococcus	0	0	1
Desulfomicrobium	0	1	0
Desulfopila	0	4	0
Desulfosarcina	0	1	0
Desulfosporosinus	1	1	4
Desulfotalea	0	0	1
Desulfotomaculum	0	0	2
Desulfovibrio	1	2	0
Desulfurella	2	1	0
Devosia	0	1	1
Dialister	0	0	1
Dickeya	2	0	0
Dictyoglomus	0	0	1
Dokdonia	3	3	8
Dolosigranulum	0	0	1
Dyella	1	0	0
Dysgonomonas	0	0	2
Echinicola	0	2	1
Edaphobacter	0	1	0
Edwardsiella	0	2	0
Ehrlichia	12	13	10
Elizabethkingia	4	2	2
Emcibacter	1	0	0
Empedobacter	2	3	3
Endomicrobium	0	1	0
Ensifer	1	0	0
Enterobacter	3	1	2
Enterococcus	3	5	5
Enterovibrio	0	0	1
Entomomonas	0	1	0
Entomoplasma	2	0	0
Ephemeroptericola	0	1	1
Epibacterium	0	1	1
Erwinia	3	8	5
Erysipelatoclostridium	0	1	0
Erysipelothrix	1	3	1
Erythrobacter	2	2	3
Escherichia	0	4	3
Eubacterium	0	2	0
Euzebyella	2	2	1
Exiguobacterium	1	0	0
Ezakiella	1	2	1
Faecalibaculum	0	0	1
Fermentimonas	0	0	2
Ferrimonas	1	1	0
Fervidobacterium	0	4	1
Fibrella	1	0	0
Filifactor	0	1	0
Filimonas	1	0	0
Filomicrobium	1	2	0
Finegoldia	0	2	2
Flagellimonas	1	0	1
Flammeovirga	2	2	4
Flavihumibacter	1	0	0
Flavisolibacter	0	2	1
Flavivirga	0	0	1
Flavobacterium	31	22	32
Fluoribacter	2	3	1
Fluviicola	1	0	0
Formosa	13	8	11
Francisella	8	7	14
Frischella	1	1	0
Fusobacterium	12	14	10
Galbibacter	0	0	1
Gallaecimonas	1	1	0
Gallibacterium	1	0	0
Gallionella	1	0	0
Gardnerella	0	0	1
Gemella	4	0	1
Geminocystis	0	2	3
Gemmobacter	1	0	0
Geobacillus	0	1	0
Geobacter	1	0	0
Geosporobacter	0	0	1
Gillisia	3	0	3
Glaciecola	3	1	0
Gloeocapsa	1	0	0
Gloeomargarita	0	0	1
Gloeothece	1	2	1
Glycocaulis	0	0	1
Gordonia	1	0	0
Gottschalkia	2	0	1
Gramella	3	5	5
Granulibacter	0	1	0
Guyparkeria	0	1	0
Gynuella	1	1	1
Haematospirillum	1	1	0
Haemophilus	3	9	3
Hafnia	0	0	1
Hahella	2	0	1
Halanaerobium	2	1	2
Halarchaeum	0	1	0
Halarcobacter	2	4	5
Halioglobus	5	2	0
Haliscomenobacter	0	1	0
Haloactinobacterium	1	0	0
Halobacillus	1	1	0
Halobacteriovorax	4	7	0
Halobacteroides	0	1	0
Halocella	1	1	0
Halomonas	6	13	9
Halorhodospira	1	0	0
Halotalea	1	0	1
Hathewaya	0	0	1
Helicobacter	5	7	5
Herminiimonas	0	0	1
Histophilus	0	0	1
Hoeflea	0	2	1
Hungateiclostridium	0	3	2
Hungatella	1	1	0
Hydrocarboniclastica	0	1	1
Hydrogenobacter	1	0	0
Hydrogenophaga	0	0	1
Hydrogenovibrio	1	0	1
Hymenobacter	2	3	0
Hyphobacterium	1	1	0
Hyphomicrobium	0	2	0
Hyphomonas	2	1	0
Idiomarina	0	3	3
Ignavibacterium	1	1	1
Ilyobacter	0	1	0
Indioceanicola	1	0	0
Intrasporangium	0	1	0
Iodobacter	2	0	0
Jannaschia	0	1	0
Janthinobacterium	0	1	2
Jeotgalibaca	1	0	0
Jeotgalibacillus	1	0	0
Jeotgalicoccus	1	0	0
Kangiella	1	4	0
Kerstersia	0	0	2
Ketobacter	0	2	2
Ketogulonicigenium	1	1	0
Kineobactrum	1	1	0
Klebsiella	1	1	1
Kocuria	0	1	0
Komagataeibacter	1	1	0
Kordia	2	1	2
Kosakonia	1	2	0
Kozakia	1	0	0
Kushneria	0	2	0
Labilibaculum	1	2	5
Labrenzia	0	3	2
Lachnoanaerobaculum	0	1	0
Lachnoclostridium	1	0	0
Lachnospira	0	0	1
Lacibacter	0	2	0
Lacimicrobium	0	4	0
Lacinutrix	1	0	1
Lactobacillus	10	12	5
Lactococcus	3	1	3
Lawsonia	0	0	1
Leadbetterella	1	0	0
Leeuwenhoekiella	0	1	1
Legionella	10	21	13
Leisingera	0	0	1
Lelliottia	1	0	0
Lentibacillus	0	0	1
Lentilitoribacter	3	0	3
Leptolyngbya	1	1	1
Leptospira	1	7	5
Leptotrichia	4	6	2
Leuconostoc	3	1	5
Liberibacter	2	9	5
Limosilactobacillus	1	1	0
Liquorilactobacillus	1	2	2
Listeria	5	5	0
Litoricola	0	2	0
Litorilituus	0	2	0
Longibaculum	0	0	2
Luteimonas	1	0	0
Lutibacter	0	0	3
Lysinibacillus	1	1	0
Lysobacter	0	1	0
Magnetospira	1	2	0
Magnetospirillum	1	0	0
Malaciobacter	5	5	3
Mameliella	0	1	0
Mannheimia	4	3	0
Maribacter	14	6	6
Maribius	0	0	1
Mariniflexile	1	1	3
Marinitoga	0	1	0
Marinobacter	9	4	14
Marinobacterium	0	0	1
Marinomonas	4	3	1
Marinovum	0	0	1
Maritalea	0	2	1
Marivirga	0	1	3
Marivivens	0	1	0
Martelella	1	0	0
Massilia	0	0	1
Mediterraneibacter	0	1	0
Melissococcus	1	0	0
Mesobacillus	0	1	4
Mesoflavibacter	1	1	0
Mesoplasma	1	1	2
Mesorhizobium	3	6	3
Mesotoga	0	1	0
Metabacillus	2	3	0
Methanobacterium	0	1	1
Methanobrevibacter	1	0	0
Methanocaldococcus	2	1	0
Methanolobus	0	0	1
Methanoplanus	1	0	0
Methanosarcina	2	0	1
Methanospirillum	1	0	0
Methylacidiphilum	0	2	1
Methylibium	1	0	0
Methylobacterium	0	3	0
Methylocaldum	1	1	0
Methylocystis	0	2	1
Methyloligella	0	2	0
Methylomicrobium	0	1	1
Methylomonas	0	1	0
Methylophaga	2	0	2
Methylophilus	0	2	0
Methylorubrum	0	1	0
Methylotenera	1	3	1
Methylovorus	0	2	0
Micavibrio	0	1	0
Microbulbifer	2	5	1
Microcystis	1	0	2
Micromonospora	0	0	1
Mixta	2	0	0
Mogibacterium	0	0	1
Monaibacterium	0	1	0
Moorea	3	0	2
Moraxella	3	6	3
Moritella	1	3	0
Mucilaginibacter	2	3	2
Muricauda	4	2	3
Mycetohabitans	0	0	1
Mycoavidus	1	1	0
Mycobacterium	1	0	0
Mycobacteroides	1	0	0
Mycolicibacterium	2	1	0
Mycoplasma	22	44	39
Mycoplasmopsis	0	1	2
Myroides	2	4	3
Nakamurella	0	1	0
Natranaerobius	0	0	1
Nautilia	0	3	1
Ndongobacter	0	0	1
Neisseria	8	3	3
Neobacillus	0	0	2
Neokomagataea	1	1	2
Neorhizobium	2	1	1
Neorickettsia	1	0	2
Neptunomonas	0	2	2
Niabella	0	1	0
Niastella	0	1	0
Nibribacter	0	0	2
Nibricoccus	1	0	0
Nitratiruptor	0	1	1
Nitrincola	1	2	1
Nitrosarchaeum	0	0	1
Nitrosococcus	5	0	0
Nitrosomonas	5	4	6
Nitrosopumilus	1	3	3
Nitrospira	1	1	1
Niveispirillum	0	1	0
Nocardioides	1	1	0
Nodularia	1	0	0
Nonlabens	10	1	10
Nostoc	5	4	3
Novosphingobium	1	1	0
Oceanicoccus	2	2	0
Oceanicola	0	0	1
Oceanihabitans	1	1	6
Oceanimonas	0	1	0
Oceanisphaera	0	2	0
Oceanispirochaeta	0	0	1
Oceanobacillus	1	3	4
Ochrobactrum	0	1	1
Octadecabacter	3	3	1
Oleiphilus	1	0	0
Oleispira	2	0	0
Oligella	1	0	0
Oligotropha	2	0	0
Olivibacter	0	1	0
Olleya	1	0	2
Orbus	2	1	0
Orientia	3	4	5
Ornithobacterium	1	1	0
Owenweeksia	1	0	0
Paenibacillus	10	12	6
Paenisporosarcina	0	1	0
Paludibacter	0	1	2
Panacibacter	0	1	0
Pandoraea	1	0	0
Pantoea	2	0	2
Paraburkholderia	2	1	1
Paraclostridium	0	0	2
Paracoccus	3	0	3
Paraflavitalea	0	0	2
Paraglaciecola	4	6	3
Paraliobacillus	0	4	1
Paraphotobacterium	2	2	3
Paraprevotella	1	0	0
Pararhodospirillum	1	0	0
Parasedimentitalea	1	0	1
Parashewanella	0	0	1
Parasphingopyxis	1	0	0
Parvimonas	0	0	1
Parvularcula	1	0	1
Pasteurella	0	1	1
Pectobacterium	0	1	2
Pediococcus	1	2	0
Pedobacter	2	5	4
Pelistega	0	0	2
Pelobacter	0	0	1
Pelosinus	0	2	1
Peptacetobacter	1	1	0
Peptoclostridium	1	2	0
Peptoniphilus	0	1	1
Peribacillus	0	1	3
Petrotoga	1	0	1
Phaeobacter	4	8	4
Phascolarctobacterium	0	1	0
Phoenicibacter	1	0	0
Photobacterium	4	1	1
Photorhabdus	0	0	3
Phreatobacter	0	1	0
Phyllobacterium	1	0	0
Piscirickettsia	2	0	3
Pistricoccus	0	0	2
Planktomarina	3	3	1
Planktothrix	0	0	2
Planococcus	2	4	5
Plantibacter	0	1	0
Plesiomonas	0	1	0
Pleurocapsa	0	1	0
Pluralibacter	1	0	0
Polaribacter	17	17	38
Polynucleobacter	11	9	6
Pontibacter	2	0	1
Porphyromonas	0	0	1
Pragia	0	1	0
Prevotella	1	3	1
Prochlorococcus	1355	333	569
Proteus	1	3	3
Providencia	5	2	1
Pseudanabaena	0	2	0
Pseudoalteromonas	25	78	32
Pseudobacter	0	0	1
Pseudobutyrivibrio	1	1	1
Pseudohalocynthiibacter	0	1	0
Pseudohongiella	0	1	2
Pseudolabrys	0	1	0
Pseudomonas	27	24	15
Pseudopedobacter	0	3	1
Pseudorhodobacter	1	0	0
Pseudorhodoplanes	0	1	0
Pseudothermotoga	0	3	0
Psychrobacillus	0	0	1
Psychrobacter	1	1	1
Psychroflexus	0	3	1
Psychromonas	2	3	1
Pyrobaculum	1	0	0
Ralstonia	1	0	1
Raoultella	0	1	1
Raphidiopsis	2	2	1
Reinekea	1	0	0
Rheinheimera	2	0	0
Rhizobium	0	14	9
Rhodobaca	0	2	0
Rhodobacter	0	1	0
Rhodoferax	0	1	0
Rhodoluna	0	1	1
Rhodomicrobium	1	0	0
Rhodopirellula	1	1	0
Rhodopseudomonas	0	1	0
Rhodothermus	0	1	0
Rhodovulum	2	0	1
Rickettsia	8	16	12
Rickettsiella	0	1	0
Riemerella	0	0	1
Rippkaea	1	2	0
Rivularia	2	1	2
Romboutsia	2	4	3
Roseitalea	0	1	0
Roseivirga	3	0	0
Roseobacter	1	4	5
Roseomonas	0	0	2
Roseovarius	3	5	4
Ruegeria	0	1	1
Ruminiclostridium	0	0	1
Ruminococcus	0	2	0
Rummeliibacillus	0	1	0
Saccharophagus	0	2	0
Salegentibacter	4	5	0
Salinicoccus	0	1	0
Salinicola	0	1	0
Salinimonas	6	0	1
Saliniradius	1	2	0
Salinivibrio	1	0	0
Salmonella	0	0	1
Scytonema	0	0	1
Sebaldella	0	1	0
Sedimenticola	0	0	1
Sediminicola	0	0	1
Seonamhaeicola	2	0	3
Serinicoccus	1	0	0
Serratia	1	3	0
Shewanella	30	20	24
Siansivirga	0	0	3
Sideroxydans	1	0	0
Silvanigrella	0	1	0
Singulisphaera	1	0	0
Sinorhizobium	1	3	0
Sneathia	0	1	0
Solitalea	0	0	1
Spartinivicinus	1	1	2
Sphaerochaeta	0	0	1
Sphaerospermopsis	1	0	0
Sphingobacterium	2	5	2
Sphingobium	4	4	2
Sphingomonas	5	6	1
Sphingopyxis	2	6	3
Sphingorhabdus	2	2	1
Spiribacter	0	3	1
Spiroplasma	5	12	15
Spirosoma	1	2	1
Spongiibacter	0	0	1
Sporosarcina	1	0	2
Stanieria	0	1	1
Staphylococcus	18	19	12
Stappia	1	1	0
Starkeya	0	1	0
Stella	0	1	1
Stenotrophomonas	0	1	0
Steroidobacter	0	1	0
Streptococcus	15	8	9
Streptomyces	4	1	2
Succinivibrio	0	1	1
Sulfitobacter	8	3	10
Sulfolobus	0	1	0
Sulfuricaulis	0	1	0
Sulfuricella	0	0	2
Sulfurihydrogenibium	1	1	3
Sulfurimonas	4	3	2
Sulfuritalea	0	0	1
Sulfurospirillum	2	2	2
Sulfurovum	0	1	0
Swingsia	3	1	3
Synechococcus	266	140	107
Syntrophus	0	1	1
Tateyamaria	1	1	0
Tatlockia	1	1	1
Tatumella	0	0	2
Taylorella	0	1	2
Tenacibaculum	5	5	7
Tenuifilum	1	0	1
Tepidanaerobacter	0	1	0
Tessaracoccus	2	0	0
Tetragenococcus	0	1	2
Thalassobius	0	2	2
Thalassococcus	1	0	0
Thalassolituus	0	2	0
Thalassospira	0	1	3
Thalassotalea	2	2	0
Thauera	1	0	0
Thermanaeromonas	0	0	1
Thermoanaerobacter	1	3	0
Thermoanaerobacterium	1	3	3
Thermoanaerosceptrum	3	5	3
Thermocrinis	1	0	0
Thermodesulfobacterium	1	3	2
Thermodesulfobium	0	4	1
Thermodesulfovibrio	0	3	1
Thermomonas	0	1	0
Thermosediminibacter	0	0	1
Thermosipho	4	1	2
Thermosulfurimonas	0	0	1
Thermotoga	0	2	1
Thioalkalivibrio	2	0	0
Thiolapillus	1	0	1
Thiomicrorhabdus	3	3	0
Thiomicrospira	2	0	2
Thioploca	1	4	0
Tistrella	1	0	0
Tolypothrix	1	0	0
Treponema	1	1	3
Trichodesmium	0	1	0
Tumebacillus	0	0	1
Undibacterium	1	0	0
Ureaplasma	2	2	2
Urechidicola	1	0	1
Vagococcus	1	1	4
Veillonella	1	1	0
Vespertiliibacter	1	0	1
Vibrio	37	25	23
Virgibacillus	0	3	3
Weissella	0	0	1
Wenyingzhuangia	1	2	3
Wigglesworthia	0	0	4
Winogradskyella	8	11	7
Wolbachia	6	14	8
Xanthomonas	1	0	1
Xenorhabdus	2	3	4
Xylella	0	2	0
Yersinia	5	6	3
Yoonia	1	0	1
Zhongshania	1	0	2
Zobellia	1	2	2
Zunongwangia	0	0	1
Zymobacter	0	0	1
Zymomonas	0	2	2
